Country,Item,Tag,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Ethiopia,Area (Mha),a,Mha,0.005571,0.0231,0.02695,0.053704,0.0108,0.134503,0.0107,0.460735,0.053224,0.029,0.229581,0.102,0.413992,0.022,0,0.04,0.002
Mozambique,Area (Mha),a,Mha,0.0021,0,0.035,0,0.1147,0.07924,0.331761,0.132068,0.071339,1.616024,0.591231,0.282783,0.354265,0.054293,0.047068,0.246,0.0003
Tanzania,Area (Mha),a,Mha,0.024645,0.017405,0,0,0,0.034,0.06918,0.000324,0.015681,0.112809,0.09,0.426249,0.293632,0.0285,0.003732,0.0912,0.0523
Zambia,Area (Mha),a,Mha,0,0,0,0.00525,0.029959,0.0002,0.002435,0,0.080487,0.303736,0.123294,0.160967,0.006451,0.012822,0.074768,0.048696,0.000263
Ethiopia,Number,b,Count,3,5,5,9,4,10,3,15,8,2,14,6,14,1,0,1,2
Mozambique,Number,b,Count,2,0,1,0,7,3,6,9,12,17,39,13,8,6,7,2,1
Tanzania,Number,b,Count,3,2,0,0,0,1,4,1,7,7,4,5,13,4,3,3,2
Zambia,Number,b,Count,0,0,0,4,4,1,2,0,4,4,4,9,2,1,8,4,1
Total FDI inflow,Monetary value,c,USD billions,1375.219692,781.2204802,596.4196532,559.2292112,731.9832818,953.2202278,1443.499669,1962.177937,1561.307473,1243.918503,1434.240339,1644.590184,1660.417842,1588.127256,1409.164289,2000.585079,1952.770323
Agriculture fisheries and forestry FDI inflow,Monetary value,c,USD millions,1551.9,1784.3,1242.9,1716,2485.5,1898.5,2266.9,9203.7,6404.2,4594.1,5530.32,2750.72,1290.31,1004.74,770.94,697.22,1580.14
Number of land deals,Number of deals,c,Count,40,38,41,55,65,108,142,212,214,206,237,225,148,93,97,58,36
